"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID"
"84","E01007892","Sheffield 003B","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7687
"85","E01007893","Sheffield 003C","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7688
"86","E01007894","Sheffield 004E","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7689
"87","E01007895","Sheffield 004F","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7690
"88","E01007896","Sheffield 004G","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7691
"89","E01007897","Sheffield 005A","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7692
"90","E01007898","Sheffield 003D","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7693
"91","E01007899","Sheffield 003E","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7694
"92","E01007900","Sheffield 003F","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7695
"93","E01007901","Sheffield 003G","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7696
"94","E01007902","Sheffield 027B","E05010864","Darnall",NA,"E08000019","Sheffield",7697
"95","E01007903","Sheffield 018A","E05010864","Darnall",NA,"E08000019","Sheffield",7698
"96","E01007904","Sheffield 018B","E05010864","Darnall",NA,"E08000019","Sheffield",7699
"97","E01007905","Sheffield 027C","E05010864","Darnall",NA,"E08000019","Sheffield",7700
"98","E01008006","Sheffield 054D","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7701
"99","E01008007","Sheffield 060A","E05010870","Gleadless Valley",NA,"E08000019","Sheffield",7702
"100","E01008008","Sheffield 045D","E05010877","Richmond",NA,"E08000019","Sheffield",7703
"101","E01008009","Sheffield 045E","E05010877","Richmond",NA,"E08000019","Sheffield",7704
"102","E01008010","Sheffield 052E","E05010877","Richmond",NA,"E08000019","Sheffield",7705
"103","E01008011","Sheffield 039A","E05010873","Manor Castle",NA,"E08000019","Sheffield",7706
"104","E01008012","Sheffield 039B","E05010873","Manor Castle",NA,"E08000019","Sheffield",7707
"105","E01008013","Sheffield 039C","E05010873","Manor Castle",NA,"E08000019","Sheffield",7708
"106","E01008014","Sheffield 032E","E05010864","Darnall",NA,"E08000019","Sheffield",7709
"107","E01008015","Sheffield 039D","E05010873","Manor Castle",NA,"E08000019","Sheffield",7710
"108","E01008016","Sheffield 032F","E05010864","Darnall",NA,"E08000019","Sheffield",7711
"109","E01008017","Sheffield 039E","E05010873","Manor Castle",NA,"E08000019","Sheffield",7712
"110","E01008018","Sheffield 039F","E05010873","Manor Castle",NA,"E08000019","Sheffield",7713
"111","E01008019","Sheffield 065A","E05010874","Mosborough",NA,"E08000019","Sheffield",7714
"112","E01008020","Sheffield 065B","E05010874","Mosborough",NA,"E08000019","Sheffield",7715
"113","E01008021","Sheffield 072A","E05010874","Mosborough",NA,"E08000019","Sheffield",7716
"114","E01008022","Sheffield 065C","E05010874","Mosborough",NA,"E08000019","Sheffield",7717
"115","E01008023","Sheffield 072B","E05010874","Mosborough",NA,"E08000019","Sheffield",7718
"116","E01008024","Sheffield 072C","E05010874","Mosborough",NA,"E08000019","Sheffield",7719
"117","E01008025","Sheffield 072D","E05010874","Mosborough",NA,"E08000019","Sheffield",7720
"118","E01008027","Sheffield 065D","E05010874","Mosborough",NA,"E08000019","Sheffield",7721
"119","E01008028","Sheffield 056A","E05010858","Beighton",NA,"E08000019","Sheffield",7722
"120","E01008029","Sheffield 056B","E05010858","Beighton",NA,"E08000019","Sheffield",7723
"121","E01008030","Sheffield 063A","E05010858","Beighton",NA,"E08000019","Sheffield",7724
"122","E01008031","Sheffield 061A","E05010858","Beighton",NA,"E08000019","Sheffield",7725
"123","E01008032","Sheffield 056C","E05010858","Beighton",NA,"E08000019","Sheffield",7726
"124","E01008033","Sheffield 061B","E05010858","Beighton",NA,"E08000019","Sheffield",7727
"125","E01008034","Sheffield 056D","E05010858","Beighton",NA,"E08000019","Sheffield",7728
"126","E01008035","Sheffield 063B","E05010858","Beighton",NA,"E08000019","Sheffield",7729
"127","E01008036","Sheffield 063C","E05010858","Beighton",NA,"E08000019","Sheffield",7730
"128","E01008037","Sheffield 065E","E05010874","Mosborough",NA,"E08000019","Sheffield",7731
"129","E01008038","Sheffield 061C","E05010858","Beighton",NA,"E08000019","Sheffield",7732
"130","E01008039","Sheffield 065F","E05010874","Mosborough",NA,"E08000019","Sheffield",7733
"131","E01008040","Sheffield 061D","E05010858","Beighton",NA,"E08000019","Sheffield",7734
"132","E01008041","Sheffield 063D","E05010858","Beighton",NA,"E08000019","Sheffield",7735
"133","E01008042","Sheffield 050A","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7736
"134","E01008043","Sheffield 046A","E05010867","Ecclesall",NA,"E08000019","Sheffield",7737
"135","E01008044","Sheffield 046B","E05010867","Ecclesall",NA,"E08000019","Sheffield",7738
"136","E01008045","Sheffield 050B","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7739
"137","E01008046","Sheffield 050C","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7740
"138","E01008047","Sheffield 046C","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7741
"139","E01008048","Sheffield 046D","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7742
"140","E01008049","Sheffield 050D","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7743
"141","E01008050","Sheffield 046E","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7744
"142","E01008051","Sheffield 050E","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7745
"143","E01008052","Sheffield 050F","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7746
"144","E01008053","Sheffield 006A","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7747
"145","E01008054","Sheffield 007B","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7748
"146","E01008055","Sheffield 007C","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7749
"147","E01008056","Sheffield 006B","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7750
"148","E01007906","Sheffield 027D","E05010864","Darnall",NA,"E08000019","Sheffield",7751
"149","E01007907","Sheffield 032A","E05010864","Darnall",NA,"E08000019","Sheffield",7752
"150","E01007908","Sheffield 032B","E05010864","Darnall",NA,"E08000019","Sheffield",7753
"151","E01007909","Sheffield 032C","E05010884","Woodhouse",NA,"E08000019","Sheffield",7754
"152","E01007910","Sheffield 037A","E05010884","Woodhouse",NA,"E08000019","Sheffield",7755
"153","E01007911","Sheffield 032D","E05010884","Woodhouse",NA,"E08000019","Sheffield",7756
"154","E01007912","Sheffield 037B","E05010877","Richmond",NA,"E08000019","Sheffield",7757
"155","E01007913","Sheffield 018C","E05010864","Darnall",NA,"E08000019","Sheffield",7758
"156","E01007914","Sheffield 018D","E05010864","Darnall",NA,"E08000019","Sheffield",7759
"157","E01007915","Sheffield 071A","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7760
"158","E01007916","Sheffield 069B","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7761
"159","E01007917","Sheffield 071B","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7762
"160","E01007918","Sheffield 071C","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7763
"161","E01007919","Sheffield 069C","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7764
"162","E01007920","Sheffield 068A","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7765
"163","E01007921","Sheffield 068B","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7766
"164","E01007922","Sheffield 071D","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7767
"165","E01007923","Sheffield 068C","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7768
"166","E01007924","Sheffield 071E","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7769
"167","E01007925","Sheffield 068D","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7770
"168","E01007926","Sheffield 068E","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7771
"169","E01007927","Sheffield 055A","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7772
"170","E01007928","Sheffield 055B","E05010867","Ecclesall",NA,"E08000019","Sheffield",7773
"171","E01007929","Sheffield 055C","E05010867","Ecclesall",NA,"E08000019","Sheffield",7774
"172","E01007930","Sheffield 055D","E05010867","Ecclesall",NA,"E08000019","Sheffield",7775
"173","E01007931","Sheffield 047A","E05010867","Ecclesall",NA,"E08000019","Sheffield",7776
"174","E01007932","Sheffield 055E","E05010867","Ecclesall",NA,"E08000019","Sheffield",7777
"175","E01007933","Sheffield 068F","E05010865","Dore and Totley",NA,"E08000019","Sheffield",7778
"176","E01007934","Sheffield 047B","E05010867","Ecclesall",NA,"E08000019","Sheffield",7779
"177","E01007935","Sheffield 047C","E05010867","Ecclesall",NA,"E08000019","Sheffield",7780
"178","E01007936","Sheffield 047D","E05010867","Ecclesall",NA,"E08000019","Sheffield",7781
"179","E01007937","Sheffield 047E","E05010867","Ecclesall",NA,"E08000019","Sheffield",7782
"180","E01007938","Sheffield 047F","E05010867","Ecclesall",NA,"E08000019","Sheffield",7783
"181","E01007939","Sheffield 055F","E05010867","Ecclesall",NA,"E08000019","Sheffield",7784
"182","E01007940","Sheffield 022E","E05010861","Burngreave",NA,"E08000019","Sheffield",7785
"183","E01007941","Sheffield 015A","E05010868","Firth Park",NA,"E08000019","Sheffield",7786
"184","E01007942","Sheffield 020D","E05010861","Burngreave",NA,"E08000019","Sheffield",7787
