"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"783","E01007983","Sheffield 053D","E05010870","Gleadless Valley","Sheffield"
"784","E01007984","Sheffield 064D","E05010871","Graves Park","Sheffield"
"785","E01007985","Sheffield 053E","E05010871","Graves Park","Sheffield"
"786","E01007986","Sheffield 059E","E05010871","Graves Park","Sheffield"
"787","E01007987","Sheffield 016A","E05010872","Hillsborough","Sheffield"
"788","E01007988","Sheffield 016B","E05010872","Hillsborough","Sheffield"
"789","E01007989","Sheffield 016C","E05010872","Hillsborough","Sheffield"
"790","E01007990","Sheffield 021A","E05010872","Hillsborough","Sheffield"
"791","E01007991","Sheffield 016D","E05010872","Hillsborough","Sheffield"
"792","E01007992","Sheffield 021B","E05010872","Hillsborough","Sheffield"
"793","E01007993","Sheffield 021C","E05010872","Hillsborough","Sheffield"
"794","E01007994","Sheffield 021D","E05010872","Hillsborough","Sheffield"
"795","E01007995","Sheffield 017A","E05010872","Hillsborough","Sheffield"
"796","E01007996","Sheffield 021E","E05010872","Hillsborough","Sheffield"
"797","E01007997","Sheffield 025A","E05010880","Stannington","Sheffield"
"798","E01007998","Sheffield 025B","E05010880","Stannington","Sheffield"
"799","E01007999","Sheffield 045C","E05010877","Richmond","Sheffield"
"800","E01008000","Sheffield 052A","E05010877","Richmond","Sheffield"
"801","E01008001","Sheffield 052B","E05010877","Richmond","Sheffield"
"802","E01008002","Sheffield 054B","E05010876","Park and Arbourthorne","Sheffield"
"803","E01008003","Sheffield 054C","E05010876","Park and Arbourthorne","Sheffield"
"804","E01008004","Sheffield 052C","E05010877","Richmond","Sheffield"
"805","E01008005","Sheffield 052D","E05010877","Richmond","Sheffield"
"806","E01008111","Sheffield 040D","E05010875","Nether Edge and Sharrow","Sheffield"
"807","E01008112","Sheffield 042D","E05010875","Nether Edge and Sharrow","Sheffield"
"808","E01008113","Sheffield 042E","E05010875","Nether Edge and Sharrow","Sheffield"
"809","E01008114","Sheffield 074A","E05010860","Broomhill and Sharrow Vale","Sheffield"
"810","E01008115","Sheffield 074B","E05010860","Broomhill and Sharrow Vale","Sheffield"
"811","E01008116","Sheffield 009C","E05010879","Southey","Sheffield"
"812","E01008117","Sheffield 009D","E05010879","Southey","Sheffield"
"813","E01008118","Sheffield 009E","E05010879","Southey","Sheffield"
"814","E01008119","Sheffield 009F","E05010879","Southey","Sheffield"
"815","E01008122","Sheffield 012E","E05010879","Southey","Sheffield"
"816","E01008123","Sheffield 015E","E05010868","Firth Park","Sheffield"
"817","E01008124","Sheffield 012F","E05010879","Southey","Sheffield"
"818","E01008125","Sheffield 009G","E05010879","Southey","Sheffield"
"819","E01008126","Sheffield 008A","E05010880","Stannington","Sheffield"
"820","E01008128","Sheffield 008C","E05010881","Stocksbridge and Upper Don","Sheffield"
"821","E01008129","Sheffield 023A","E05010880","Stannington","Sheffield"
"822","E01008130","Sheffield 023B","E05010880","Stannington","Sheffield"
"823","E01008131","Sheffield 023C","E05010880","Stannington","Sheffield"
"824","E01008132","Sheffield 023D","E05010880","Stannington","Sheffield"
"825","E01008133","Sheffield 023E","E05010880","Stannington","Sheffield"
"826","E01008134","Sheffield 005B","E05010883","West Ecclesfield","Sheffield"
"827","E01008135","Sheffield 005C","E05010866","East Ecclesfield","Sheffield"
"828","E01008136","Sheffield 008D","E05010881","Stocksbridge and Upper Don","Sheffield"
"829","E01008137","Sheffield 005D","E05010883","West Ecclesfield","Sheffield"
"830","E01008138","Sheffield 006D","E05010866","East Ecclesfield","Sheffield"
"831","E01008139","Sheffield 006E","E05010866","East Ecclesfield","Sheffield"
"832","E01008140","Sheffield 008E","E05010881","Stocksbridge and Upper Don","Sheffield"
"833","E01008141","Sheffield 005E","E05010883","West Ecclesfield","Sheffield"
"834","E01008142","Sheffield 002A","E05010881","Stocksbridge and Upper Don","Sheffield"
"835","E01008143","Sheffield 002B","E05010881","Stocksbridge and Upper Don","Sheffield"
"836","E01008144","Sheffield 001A","E05010881","Stocksbridge and Upper Don","Sheffield"
"837","E01008145","Sheffield 001B","E05010881","Stocksbridge and Upper Don","Sheffield"
"838","E01008146","Sheffield 002C","E05010881","Stocksbridge and Upper Don","Sheffield"
"839","E01008147","Sheffield 002D","E05010881","Stocksbridge and Upper Don","Sheffield"
"840","E01008148","Sheffield 001C","E05010881","Stocksbridge and Upper Don","Sheffield"
"841","E01008149","Sheffield 001D","E05010881","Stocksbridge and Upper Don","Sheffield"
"842","E01008150","Sheffield 001E","E05010881","Stocksbridge and Upper Don","Sheffield"
"843","E01008151","Sheffield 024A","E05010882","Walkley","Sheffield"
"844","E01008152","Sheffield 025C","E05010880","Stannington","Sheffield"
"845","E01008153","Sheffield 024B","E05010882","Walkley","Sheffield"
"846","E01008154","Sheffield 024C","E05010882","Walkley","Sheffield"
"847","E01008155","Sheffield 024D","E05010882","Walkley","Sheffield"
"848","E01008156","Sheffield 024E","E05010882","Walkley","Sheffield"
"849","E01008157","Sheffield 026D","E05010882","Walkley","Sheffield"
"850","E01008158","Sheffield 025D","E05010880","Stannington","Sheffield"
"851","E01008159","Sheffield 029D","E05010863","Crookes and Crosspool","Sheffield"
"852","E01008160","Sheffield 024F","E05010882","Walkley","Sheffield"
"853","E01008161","Sheffield 026E","E05010882","Walkley","Sheffield"
